file_name, base, quote
bchabc-usd.csv,bchabc,usd
algo-btc.csv,algo,btc
san-usd.csv,san,usd
dai-usd.csv,dai,usd
xmr-usd.csv,xmr,usd
btc-gbp.csv,btc,gbp
mkr-btc.csv,mkr,btc
neo-usd.csv,neo,usd
eth-usdt.csv,eth,usdt
edo-usd.csv,edo,usd
dash-usd.csv,dash,usd
btc-usd.csv,btc,usd
eth-usd.csv,eth,usd
eth-jpy.csv,eth,jpy
iota-usd.csv,iota,usd
utk-btc.csv,utk,btc
eos-eur.csv,eos,eur
etc-btc.csv,etc,btc
dgx-eth.csv,dgx,eth
etp-eth.csv,etp,eth
scrl-usd.csv,scrl,usd
dash-btc.csv,dash,btc
uos-usd.csv,uos,usd
atom-usd.csv,atom,usd
tnb-btc.csv,tnb,btc
bchabc-btc.csv,bchabc,btc
ampl-usd.csv,ampl,usd
btc-usdt.csv,btc,usdt
dta-btc.csv,dta,btc
vet-btc.csv,vet,btc
eos-btc.csv,eos,btc
gen-eth.csv,gen,eth
dt-usdt.csv,dt,usdt
xlm-usd.csv,xlm,usd
rrb-usd.csv,rrb,usd
usdt-usd.csv,usdt,usd
eos-jpy.csv,eos,jpy
gen-usd.csv,gen,usd
eth-gbp.csv,eth,gbp
omg-btc.csv,omg,btc
eth-eur.csv,eth,eur
leot-usdt.csv,leot,usdt
neo-eth.csv,neo,eth
btc-jpy.csv,btc,jpy
xrp-usd.csv,xrp,usd
xmr-btc.csv,xmr,btc
eos-gbp.csv,eos,gbp
kan-usdt.csv,kan,usdt
xlm-btc.csv,xlm,btc
vet-eth.csv,vet,eth
ltc-usd.csv,ltc,usd
bchsv-btc.csv,bchsv,btc
kan-usd.csv,kan,usd
mgo-usd.csv,mgo,usd
dgx-usd.csv,dgx,usd
trx-usd.csv,trx,usd
bchsv-usd.csv,bchsv,usd
mkr-eth.csv,mkr,eth
ltc-btc.csv,ltc,btc
btt-usd.csv,btt,usd
eth-btc.csv,eth,btc
dat-usd.csv,dat,usd
rif-btc.csv,rif,btc
iota-btc.csv,iota,btc
pgo-usd.csv,pgo,usd
ampl-usdt.csv,ampl,usdt
qtum-usd.csv,qtum,usd
eos-usdt.csv,eos,usdt
edo-btc.csv,edo,btc
vsys-btc.csv,vsys,btc
btg-usd.csv,btg,usd
neo-eur.csv,neo,eur
iota-eth.csv,iota,eth
utk-eth.csv,utk,eth
etc-usd.csv,etc,usd
ltc-usdt.csv,ltc,usdt
etp-usd.csv,etp,usd
rrb-usdt.csv,rrb,usdt
tnb-eth.csv,tnb,eth
xrp-btc.csv,xrp,btc
neo-btc.csv,neo,btc
etp-btc.csv,etp,btc
rbtc-btc.csv,rbtc,btc
ode-usd.csv,ode,usd
btc-eur.csv,btc,eur
trx-btc.csv,trx,btc
dai-eth.csv,dai,eth
leot-usd.csv,leot,usd
bci-usd.csv,bci,usd
eos-eth.csv,eos,eth
iota-eur.csv,iota,eur
scrl-eth.csv,scrl,eth
eos-usd.csv,eos,usd
omg-usd.csv,omg,usd
leot-btc.csv,leot,btc
uos-btc.csv,uos,btc
vsys-usd.csv,vsys,usd
btg-btc.csv,btg,btc
